latitude,longitude,depth,mb,Ms,magnitude,time,second,minute,hour,day,month,year
-10.428,118.532,22,4.2,NA,4.2,1042.785049,28.2,50,18,8,11,1975
-10.566,118.386,33,6.1,NA,6.1,1692.280215,30.6,43,6,19,8,1977
-10.343,118.17,33,4.9,NA,4.9,1702.411727,53.2,52,9,29,8,1977
-10.162,118.234,33,5.2,NA,5.2,1720.194512,5.8,40,4,16,9,1977
-10.232,118.183,33,5.3,NA,5.3,1752.299954,56,11,7,18,10,1977
-10.568,118.74,33,4.8,NA,4.8,1762.424346,3.5,11,10,28,10,1977
-10.213,118.729,33,5.7,NA,5.7,1764.077073,59.1,50,1,30,10,1977
-10.238,118.033,33,5,NA,5,1765.989853,23.3,45,23,31,10,1977
-10.997,118.214,33,4.7,NA,4.7,2240.464572,59,8,11,18,2,1979
-10.426,118.178,33,4.8,NA,4.8,2856.024881,49.7,35,0,26,10,1980
-10.984,118.333,33,4.4,NA,4.4,3039.86941,57.02,51,20,27,4,1981
-10.46,118.656,33,4.1,NA,4.1,5379.972684,39.93,20,23,23,9,1987
-10.375,118.525,33,4.1,NA,4.1,7026.686983,15.37,29,16,28,3,1992
-11.026,118.385,39.5,5.8,5.3,5.8,7485.15706,10,46,3,29,6,1993
-10.839,118.318,10,3.9,NA,3.9,7576.473144,19.64,21,11,28,9,1993
-11.008,118.546,33,4.2,NA,4.2,8982.964777,16.71,9,23,4,8,1997
-10.59,118.428,33,4.7,NA,4.7,9396.14992,53.06,35,3,21,9,1998
-11.005,118.613,33,4.5,NA,4.5,10052.01489,26.34,21,0,9,7,2000
-10.871,118.408,33,4.4,NA,4.4,10392.89797,5,33,21,14,6,2001
-10.918,118.519,33,4.7,NA,4.7,10492.73095,34.35,32,17,22,9,2001
-10.972,118.194,33,3.9,NA,3.9,10558.23625,11.77,40,5,27,11,2001
-10.987,118.157,33,4.3,NA,4.3,11020.27347,47.77,33,6,4,3,2003
-10.757,118.117,33,4.5,NA,4.5,11027.84952,18.78,23,20,11,3,2003
-10.881,118.558,33,4.6,NA,4.6,11109.75869,31.24,12,18,1,6,2003
-10.468,118.738,33,4.9,NA,4.9,11275.79858,57.17,9,19,14,11,2003
-10.986,118.597,10,4.5,NA,4.5,11542.19068,35.01,34,4,7,8,2004
-11.016,118.328,30,4.5,NA,4.5,12189.48878,50.61,43,11,16,5,2006
-10.248,118.459,49.3,5.2,NA,5.2,13148.75654,24.77,9,18,30,12,2008
-10.535,118.825,43.9,4.8,NA,4.8,13268.89682,24.84,31,21,29,4,2009
-10.556,118.84,41.9,4.7,NA,4.7,13474.18687,5.21,29,4,21,11,2009
-10.623,118.888,35,5.6,4.9,5.6,13477.16708,35.34,0,4,24,11,2009
-10.566,118.852,35,5.6,4.9,5.6,13480.98345,10,36,23,27,11,2009
-10.435,118.848,35,5.7,5.1,5.7,13481.00321,36.98,4,0,28,11,2009
-10.703,118.75,28.9,4.4,NA,4.4,13481.04859,57.93,9,1,28,11,2009
-10.635,118.877,33,4.2,NA,4.2,13481.27505,4.3,36,6,28,11,2009
-10.621,118.761,30.1,4.6,NA,4.6,13481.49555,35.44,53,11,28,11,2009
-10.703,118.717,35,4.5,NA,4.5,13481.52557,49.05,36,12,28,11,2009
-10.728,118.563,13,4.4,NA,4.4,13482.18878,50.93,31,4,29,11,2009
-10.528,118.636,45.5,4.3,NA,4.3,13970.09342,31.27,14,2,1,4,2011
-10.159,118.192,19.9,4.7,NA,4.7,14426.7116,41.81,4,17,30,6,2012
-10.436,118.762,38.6,4.5,NA,4.5,14739.64185,16.04,24,15,9,5,2013
-10.3009,118.3475,33.6,4.1,NA,4.1,15220.14473,24.41,28,3,2,9,2014
-10.3336,118.5943,40.06,4,NA,4,15506.64206,33.92,24,15,15,6,2015
-10.1232,118.1884,51.86,4.4,NA,4.4,16263.50779,12.69,11,12,11,7,2017
